sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Harpea_6:bin_000020	19829	228587	24909	66411	155964	1412013	69606	827492	7994	64937	5534	19984	504941	2454355	1416635	3535570	4733	19527	6843	38570	10312	162283
Harpea_6:bin_000021	5159	17111	5824	17063	124711	843464	8175	22488	2606	13299	1220	2918	12954	26248	1177582	1331637	520	1547	2326	13732	2461	11114
Harpea_6:bin_000022	1001699	3298370	133885	719174	282993	2041158	1395128	3307110	156479	1578309	518787	2968024	2270645	3297095	1309373	3591379	598454	2973880	317788	2593965	20938	240535
Harpea_6:bin_000023	99101	1251564	1238971	4243965	3631319	5142238	3262	34764	58232	734386	7321	32542	56144	612595	608564	4090675	0	462	2990	25607	0	108
Harpea_6:bin_000024	256668	2238402	519058	2364597	137806	1254710	1987392	3921258	356425	2812440	1461	3479	3611101	4009359	1870717	4045461	1066	3108	647086	3569004	750077	3696370
Harpea_6:bin_000025	4070	59378	4504	32477	63089	615228	1003	15223	20237	270959	56335	750667	260154	2260334	2085908	5954750	395	9058	1416	22318	0	2283
Harpea_6:bin_000028	985937	3877966	68343	418582	246197	1938716	1467353	3973548	35796	327985	40341	446040	1838513	3974224	1352909	4008985	22946	185180	65214	595513	117342	1316725
Harpea_6:bin_000030	118121	1035497	785029	2999787	211784	1777198	716953	3887527	97639	786660	25827	36207	2007977	4372050	2713377	4508795	22892	35886	134745	880704	277650	2544116
Harpea_6:bin_000032	307748	1196781	426757	1152601	398827	1418660	3406	28092	6669	70538	54999	589025	10664	86668	75031	807930	7205	76637	150	3239	277	2538
Harpea_6:bin_000034	1871	10076	1298	6059	1073701	3234006	2739	17782	1041	9726	3306	19656	3304	20000	662	3375	235	657	572	1132	249	866
Harpea_6:bin_000035	382885	2746743	206421	1105898	89004	863774	52620	231016	516870	3056346	3382	8277	155597	322494	1347596	3616229	3230	7291	504898	3105318	27473	189716
Harpea_6:bin_000039	70361	796748	30235	186121	75318	707752	45048	575464	104055	1200718	1058	3212	70000	660280	861251	2804982	450	2354	84119	1058383	13732	189038
Harpea_6:bin_000040	24290	134414	9093	45108	55640	544810	37349	121547	3405	44474	26424	121863	49183	124351	689970	2164670	5913	52223	3245	41168	2856	28862
Harpea_6:bin_000041	706486	2416434	397601	1700522	89326	828122	145747	1269126	512847	2335275	5151	34118	435017	1852558	819850	2555254	2742	32958	495771	2353896	32613	471753
