sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Erlan_3:bin_000030	10963	152161	97131	1382917	3913	50589	30070	429662	23821	320121	411	5756	125100	1744388	67484	1023611	539	7830	33926	513922	7996	111010
Erlan_8:bin_000001	3796	54044	3770	56281	73	1170	17553	247397	1801	23924	403	4973	132049	1868340	1072	16934	101	1698	1068	15866	9214	132531
Erlan_8:bin_000002	6015	87846	300	4767	60	927	9555	133383	413	5438	464	7251	19712	281405	233	3515	57	877	529	8616	757	11656
Erlan_8:bin_000003	2184	31692	810	11489	0	21	15893	228367	65	810	4	67	58837	832199	25	259	4	14	17	245	4805	67796
Erlan_8:bin_000004	18215	252122	17020	238282	1287	16730	13970	195886	27822	380693	45	628	65941	922582	25035	371698	3	150	24123	374469	8566	125748
Erlan_8:bin_000006	8087	115961	7187	104087	875	11264	9170	134372	3723	54513	4605	66861	38880	542743	5016	76713	1708	23657	1167	18220	1368	20059
Erlan_8:bin_000007	1642	23892	3073	45328	32	599	7940	114050	722	10704	115	1719	44182	632608	277	3673	54	587	710	11869	7871	118025
Erlan_8:bin_000008	11782	173879	16999	248141	3361	44674	30053	429727	5778	81827	457	6107	174514	2509172	39703	603066	207	3109	6678	106062	8038	121034
Erlan_8:bin_000009	140	1712	10500	148148	4	61	12714	180373	3534	48264	22	186	21003	291139	50	693	0	36	4105	61073	199	2962
Erlan_8:bin_000010	574	7675	4624	63429	36	823	3779	55234	760	10694	97	1375	13344	188284	831	11275	42	743	1678	25725	915	12830
Erlan_8:bin_000012	698	11203	13711	198126	6120	80985	3288	46606	1584	22663	835	11107	18956	274314	24438	381384	13160	182339	6109	93578	8553	121359
Erlan_8:bin_000014	1650	22956	138	2193	87	1456	7203	100287	79	1041	33	806	4690	67344	143	2258	8	251	129	2350	826	11740
Erlan_8:bin_000015	2772	40874	3925	57723	575	7658	9096	127752	471	6782	4092	58571	19229	265856	4506	69989	1332	19467	239	3841	936	13115
Erlan_8:bin_000016	640	9186	343	4798	35	346	8928	121296	50	889	28	437	28653	400725	94	1519	12	139	93	1761	4509	65610
Erlan_8:bin_000017	2538	36021	828	11586	116	1275	83346	1176472	592	7888	1496	20464	159330	2224284	769	12229	418	5673	1164	16417	38776	553924
Erlan_8:bin_000018	2136	28540	1734	25442	7543	96507	101068	1425714	267	3255	1852	25488	54340	744475	11036	165331	202	2415	284	4676	1125	15856
Erlan_8:bin_000019	16298	227558	9650	136434	205	2527	26812	375318	11410	155636	40224	575362	53199	736585	3279	48604	1960	26290	3824	55944	1523	19333
Erlan_8:bin_000020	55	861	628	8352	2	26	1651	23885	6	106	0	0	11089	156638	8	214	0	0	10	278	2944	42820
Erlan_8:bin_000021	1682	22838	3712	52346	700	9406	21136	296922	622	7105	666	9303	23152	322609	3682	55394	317	4976	417	6799	789	10920
Erlan_8:bin_000023	3787	54669	3476	50413	261	3966	7652	109461	1598	22838	237	3212	24331	345677	2832	42414	76	846	1090	17198	1821	25596
Erlan_8:bin_000025	2014	27087	5329	76041	6	43	29041	415511	2	165	6	25	24640	349776	26	465	0	8	5	48	139	1877
Erlan_8:bin_000026	3188	44621	26310	386686	54	673	25743	363278	338	5651	3161	47084	28385	404064	362	5816	162	1890	2341	35289	2029	29262
Erlan_8:bin_000027	786	11955	444	7772	73	920	5780	83260	186	2603	318	4408	19705	281216	277	5085	89	1213	476	7506	1349	20617
Erlan_8:bin_000029	278	3569	403	6143	56	505	16046	225782	7	114	1608	24329	10862	153377	1507	23478	3635	50947	6	106	659	9723
Erlan_8:bin_000030	6489	94081	4310	61909	735	8496	6522	90440	2350	30580	1868	26776	18450	258633	4176	62148	422	5933	2255	32005	1009	14112
Erlan_8:bin_000031	27807	401859	6646	96113	3369	43949	4635	63474	9620	139462	195	2969	22943	327375	5686	90013	105	1480	7388	112459	410	6868
Erlan_8:bin_000032	1989	28659	148	1928	160	2100	7519	107305	231	3293	1241	16643	12934	177945	1486	23259	266	3314	918	13845	1242	18659
Erlan_8:bin_000033	5250	73622	1509	22194	181	2894	39182	563062	3786	50541	8138	115504	50379	714668	6340	96769	1144	15553	1886	29679	1941	26331
